gene,pearson_r,p,percent_cell,imp_sumup_norm
IRAK2,0.0206234183265037,0.2840606550009397,0.1297351659403285,0.32960916
CRY1,0.0206173414879174,0.2842026003354277,0.2058330539725109,0.40553784
ZFP113,0.0206063285333236,0.2844599677855813,0.0583305397251089,0.022599766
SDAD1,0.0205931071214071,0.2847691539676308,0.1133087495809587,0.11360429
TIRAP,0.020561380922804,0.2855120059251609,0.0147502514247401,0.008284875
SCPEP1OS,0.0205596628475827,0.2855522710726442,0.0147502514247401,0.009400758
C79798,0.020547145433217,0.2858457474447766,0.003687562856185,0.0050405506
PPEF1,0.0204969994234156,0.2870234853529986,0.0087160576600737,0.0057237
ST8SIA6,0.0204948877472937,0.2870731522770846,0.0207844451894066,0.009820133
METTL6,0.0204855208879564,0.2872935320460981,0.1894066376131411,0.26703575
SLCO1A5,0.0204841263866978,0.2873263510774584,0.0030170968823332,0.003899847
CENPT,0.0204805158451494,0.2874113354830822,0.1464968152866242,0.113474354
ZAR1L,0.0204703265903053,0.2876512601129695,0.0315119007710358,0.010938304
ZFP820,0.0204669658156986,0.2877304253031932,0.0063694267515923,0.009223343
TMEM202,0.0204636544029723,0.2878084421089621,0.0549782098558498,0.011569759
GM44596,0.0204612316636722,0.2878655308230786,0.0298357358364063,0.013367129
ARHGAP27,0.020448498472343,0.2881656974758291,0.1253771371102916,0.22084363
USP42,0.020446689796738,0.2882083515025947,0.1793496480053637,0.43642625
GM47095,0.0204228331278902,0.2887713619098286,0.0137445524639624,0.009962141
PTAR1,0.0203517722371352,0.2904527654462168,0.0392222594703318,0.015771544
AKR1C18,0.0203432119642123,0.2906557573241623,0.0181025812939993,0.1256608
FAM199X,0.0203342547797934,0.2908682633628521,0.1371102916526986,0.1559468
GM11266,0.0203334276351932,0.2908878923429779,0.0522963459604425,0.01469651
BEND7,0.0203026683038262,0.2916184747430026,0.023131076097888,0.008128999
PYM1,0.0203018174595116,0.2916387011347545,0.1283942339926248,0.19801676
GM42196,0.0202979269816198,0.2917311981331381,0.0023466309084813,0.0043263254
6430584L05RIK,0.0202939422256511,0.2918259570389389,0.0137445524639624,0.008103819
ERICH3,0.0202910500497571,0.2918947469497065,0.1545424069728461,0.25140336
SAMD15,0.0202899675105032,0.2919204977621268,0.0422393563526651,0.11483636
ZFP354C,0.0202641972219001,0.2925339567977176,0.2644988266845458,0.2845861
SOAT1,0.0202576619078327,0.2926896667039301,0.2001340931947703,0.30255735
ACADS,0.0202565421790289,0.2927163508591688,0.0955414012738853,0.11961485
PRMT9,0.0202494579173024,0.2928852130918389,0.1749916191753268,0.14777583
TPCN1,0.0202016855350686,0.2940256337705583,0.2510895072075092,0.49207306
ZSCAN22,0.0202002074158912,0.2940609667828689,0.1022460610124036,0.09115987
ZFP64,0.0201910407700764,0.2942801501467385,0.1475025142474019,0.15346667
CAR13,0.0201905482850526,0.2942919290376729,0.0144150184378142,0.01189101
D2HGDH,0.0201871389207616,0.2943734803427209,0.0791149849145155,0.12767299
SLC1A7,0.0201570332620641,0.2950942587388817,0.0050284948038887,0.004618662
TMEM28,0.0201538589104009,0.2951703266819754,0.1374455246396245,0.2953254
RBM43,0.02014050795079,0.2954904034469037,0.1595709017767348,0.2472364
RCAN3,0.0201142289768289,0.2961210956447442,0.224606101240362,0.31028327
FAM184B,0.0201082120992443,0.2962656265672064,0.0543077438819979,0.05331948
