gene,pearson_r,p,percent_cell,imp_sumup_norm
FMR1,0.021943265156556566,0.02298047426491707,0.0666779824040284,0.16881907
NIPAL3,0.02193547731856273,0.02302907650132033,0.04789385838354692,0.041964993
KLC2,0.021929578330295674,0.023065950219339985,0.06905428724999292,0.12592849
PALMD,0.021902580095612884,0.02323536726602613,0.012617047158335455,0.0128079215
ACKR1,0.02189594486682048,0.023277169087041093,0.017454524880477523,0.032465618
DBN1,0.021891062856532036,0.023307967334847947,0.06693258649466746,0.13820063
IER3IP1,0.021881997769077264,0.023365248422418446,0.06548982998104615,0.10582177
PDAP1,0.02188019962751478,0.023376625151089236,0.14588814393617924,0.23359875
PPP2R5E,0.02184918127150305,0.023573634475594126,0.07205295765085293,0.09738117
FKBP8,0.021843345607106192,0.02361085956148367,0.24345808933774646,0.29693237
CTXN2,0.021839039615840168,0.02363835971325515,0.021584769017511104,0.051764306
TSFM,0.021820003951528853,0.02376026391937611,0.018076890435372996,0.011511607
A330023F24RIK,0.02180711913353746,0.023843087304194384,0.05855894084698294,0.053549547
PRMT2,0.021804365731817817,0.023860818556736545,0.0691108659368016,0.121657245
HOPX,0.021799884423981914,0.023889701566526787,0.039746527483097115,0.24635793
PRKAG2,0.02177341937096954,0.024060893636523067,0.0488839854026988,0.1043913
MAP2K5,0.021771193875374337,0.0240753378562914,0.03734193329372825,0.05764674
STPG1,0.02177042820866604,0.024080309030214058,0.0030269597442643356,0.0029824413
NACA,0.021768834934724687,0.0240906563863224,0.1382217318736032,0.26883775
RSG1,0.02176068481382868,0.02414364683239374,0.0009901270191518855,0.0027290345
NIFK,0.021756641584284354,0.024169972573538444,0.03241958754137316,0.046418224
SRPK2,0.02175311349647097,0.024192964517617894,0.17197091855498034,0.2550094
2210016L21RIK,0.021750902493122476,0.024207382908971013,0.17785510198308296,0.28565413
